onset	duration	trial_type	response	response_time	stim_group	stim_id	trial_id	run_id	stim_type
2.018	3	0.0	n/a	n/a	n/a	130	55	3	n/a
8.017	3	rep1	little unpleasant	1.269	2	127	56	3	encoding
20.016	3	rep1	little unpleasant	1.479	2	125	57	3	encoding
32.015	3	rep1	little unpleasant	1.496	2	128	58	3	encoding
44.013	3	rep1	little unpleasant	1.609	2	123	59	3	encoding
56.012	3	rep1	little unpleasant	1.282	2	124	60	3	encoding
68.011	3	rep1	little unpleasant	1.731	2	126	61	3	encoding
80.010	3	rep1	little unpleasant	1.701	2	122	62	3	encoding
92.009	3	rep1	little pleasant	0.853	2	121	63	3	encoding
104.008	3	0.0	n/a	n/a	n/a	400	64	3	n/a
110.007	3	rep2	little pleasant	0.696	2	127	65	3	encoding
122.006	3	rep2	little pleasant	1.138	2	121	66	3	encoding
134.021	3	rep2	little pleasant	1.410	2	122	67	3	encoding
146.020	3	rep2	little pleasant	1.387	2	125	68	3	encoding
158.019	3	rep2	little pleasant	0.852	2	128	69	3	encoding
170.018	3	rep2	little pleasant	1.333	2	124	70	3	encoding
182.016	3	rep2	little pleasant	0.935	2	123	71	3	encoding
194.015	3	rep2	little pleasant	1.591	2	126	72	3	encoding
206.014	3	0.0	n/a	n/a	n/a	410	73	3	n/a
212.013	3	rep3	very pleasant	2.089	2	124	74	3	encoding
224.012	3	rep3	very pleasant	0.866	2	121	75	3	encoding
236.011	3	rep3	very pleasant	2.092	2	126	76	3	encoding
248.027	3	rep3	very pleasant	1.508	2	125	77	3	encoding
260.026	3	rep3	very pleasant	1.189	2	127	78	3	encoding
272.007	3	rep3	very pleasant	0.983	2	128	79	3	encoding
284.023	3	rep3	little pleasant	1.799	2	122	80	3	encoding
296.005	3	rep3	very pleasant	1.129	2	123	81	3	encoding
