onset	duration	trial_type	response	response_time	stim_group	stim_id	trial_id	run_id	stim_type
2.014	3	0.0	n/a	n/a	n/a	170	163	7	n/a
8.013	3	rep1	little pleasant	1.202	4	147	164	7	encoding
20.012	3	rep1	little pleasant	1.595	4	146	165	7	encoding
32.011	3	rep1	little pleasant	1.436	4	148	166	7	encoding
44.010	3	rep1	little pleasant	1.301	4	142	167	7	encoding
56.009	3	rep1	little pleasant	1.471	4	141	168	7	encoding
68.008	3	rep1	very pleasant	2.032	4	144	169	7	encoding
80.006	3	rep1	very pleasant	0.833	4	143	170	7	encoding
92.005	3	rep1	very pleasant	1.443	4	145	171	7	encoding
104.004	3	0.0	n/a	n/a	n/a	400	172	7	n/a
110.020	3	rep2	little pleasant	0.804	4	144	173	7	encoding
122.019	3	rep2	little pleasant	0.821	4	142	174	7	encoding
134.018	3	rep2	little pleasant	1.326	4	146	175	7	encoding
146.017	3	rep2	little pleasant	1.311	4	147	176	7	encoding
158.015	3	rep2	very pleasant	0.985	4	141	177	7	encoding
170.014	3	rep2	very pleasant	0.922	4	145	178	7	encoding
182.013	3	rep2	very pleasant	0.667	4	143	179	7	encoding
194.012	3	rep2	very pleasant	1.444	4	148	180	7	encoding
206.011	3	0.0	n/a	n/a	n/a	410	181	7	n/a
212.010	3	rep3	very pleasant	0.710	4	141	182	7	encoding
224.009	3	rep3	little pleasant	1.239	4	142	183	7	encoding
236.008	3	rep3	very pleasant	0.640	4	145	184	7	encoding
248.006	3	rep3	very pleasant	1.106	4	148	185	7	encoding
260.005	3	rep3	very pleasant	0.587	4	143	186	7	encoding
272.004	3	rep3	very pleasant	0.948	4	144	187	7	encoding
284.020	3	rep3	little pleasant	0.853	4	146	188	7	encoding
296.019	3	rep3	little pleasant	0.845	4	147	189	7	encoding
