onset	duration	trial_type	response	response_time	stim_group	stim_id	trial_id	run_id	stim_type
2.020	3	0.0	n/a	n/a	n/a	190	217	9	n/a
8.019	3	rep1	very unpleasant	0.932	7	176	218	9	encoding
20.018	3	rep1	very unpleasant	0.653	7	174	219	9	encoding
32.017	3	rep1	very unpleasant	0.782	7	178	220	9	encoding
44.015	3	rep1	very unpleasant	0.728	7	172	221	9	encoding
56.014	3	rep1	very unpleasant	0.569	7	177	222	9	encoding
68.013	3	rep1	very unpleasant	1.074	7	175	223	9	encoding
80.012	3	rep1	very unpleasant	0.611	7	171	224	9	encoding
92.011	3	rep1	very unpleasant	1.029	7	173	225	9	encoding
104.009	3	0.0	n/a	n/a	n/a	400	226	9	n/a
110.009	3	rep2	very unpleasant	0.542	7	174	227	9	encoding
122.008	3	rep2	little unpleasant	0.295	7	171	228	9	encoding
134.006	3	rep2	very unpleasant	0.729	7	176	229	9	encoding
146.005	3	rep2	little unpleasant	0.290	7	177	230	9	encoding
158.005	3	rep2	little unpleasant	0.314	7	175	231	9	encoding
170.020	3	rep2	little unpleasant	0.780	7	173	232	9	encoding
182.018	3	rep2	very unpleasant	0.700	7	172	233	9	encoding
194.017	3	rep2	very unpleasant	0.582	7	178	234	9	encoding
206.016	3	0.0	n/a	n/a	n/a	410	235	9	n/a
212.015	3	rep3	very unpleasant	0.568	7	175	236	9	encoding
224.014	3	rep3	very unpleasant	0.257	7	172	237	9	encoding
236.013	3	rep3	very unpleasant	0.858	7	176	238	9	encoding
248.012	3	rep3	very unpleasant	0.300	7	177	239	9	encoding
260.010	3	rep3	very unpleasant	1.125	7	178	240	9	encoding
272.009	3	rep3	very unpleasant	0.574	7	171	241	9	encoding
284.008	3	rep3	very unpleasant	0.551	7	174	242	9	encoding
296.007	3	rep3	very unpleasant	0.728	7	173	243	9	encoding
