onset	duration	trial_type	response	response_time	stim_group	stim_id	trial_id	run_id	stim_type
2.016	3	0.0	n/a	n/a	n/a	170	163	7	n/a
8.016	3	rep1	very unpleasant	0.880	3	131	164	7	encoding
20.014	3	rep1	little pleasant	0.817	3	137	165	7	encoding
32.013	3	rep1	little pleasant	1.147	3	136	166	7	encoding
44.012	3	rep1	little pleasant	1.020	3	134	167	7	encoding
56.011	3	rep1	little pleasant	0.837	3	138	168	7	encoding
68.010	3	rep1	little pleasant	0.630	3	133	169	7	encoding
80.008	3	rep1	little pleasant	0.871	3	135	170	7	encoding
92.007	3	rep1	little pleasant	0.752	3	132	171	7	encoding
104.006	3	0.0	n/a	n/a	n/a	400	172	7	n/a
110.005	3	rep2	little pleasant	0.610	3	131	173	7	encoding
122.004	3	rep2	little pleasant	0.683	3	133	174	7	encoding
134.020	3	rep2	little pleasant	0.652	3	132	175	7	encoding
146.019	3	rep2	little pleasant	2.613	3	136	176	7	encoding
158.017	3	rep2	little unpleasant	0.614	3	135	177	7	encoding
170.016	3	rep2	little pleasant	0.591	3	134	178	7	encoding
182.015	3	rep2	little pleasant	0.400	3	138	179	7	encoding
194.014	3	rep2	little pleasant	0.634	3	137	180	7	encoding
206.012	3	0.0	n/a	n/a	n/a	410	181	7	n/a
212.012	3	rep3	little pleasant	0.772	3	132	182	7	encoding
224.011	3	rep3	little pleasant	0.340	3	133	183	7	encoding
236.009	3	rep3	little pleasant	0.542	3	134	184	7	encoding
248.008	3	rep3	little pleasant	0.583	3	131	185	7	encoding
260.007	3	rep3	little pleasant	0.569	3	136	186	7	encoding
272.006	3	rep3	little pleasant	0.481	3	137	187	7	encoding
284.004	3	rep3	little pleasant	0.403	3	135	188	7	encoding
296.004	3	rep3	little pleasant	0.339	3	138	189	7	encoding
