onset	duration	trial_type	response	response_time	stim_group	stim_id	trial_id	run_id	stim_type
2.018	3	0.0	n/a	n/a	n/a	150	109	5	n/a
8.018	3	rep1	little unpleasant	0.990	4	144	110	5	encoding
20.016	3	rep1	little unpleasant	0.655	4	142	111	5	encoding
32.015	3	rep1	little unpleasant	0.720	4	148	112	5	encoding
44.014	3	rep1	little unpleasant	0.921	4	147	113	5	encoding
56.013	3	rep1	little unpleasant	0.826	4	141	114	5	encoding
68.012	3	rep1	little unpleasant	0.484	4	143	115	5	encoding
80.011	3	rep1	little pleasant	0.965	4	146	116	5	encoding
92.009	3	rep1	little unpleasant	0.854	4	145	117	5	encoding
104.008	3	0.0	n/a	n/a	n/a	400	118	5	n/a
110.007	3	rep2	little unpleasant	1.784	4	147	119	5	encoding
122.006	3	rep2	little unpleasant	0.793	4	145	120	5	encoding
134.005	3	rep2	little unpleasant	0.819	4	146	121	5	encoding
146.004	3	rep2	little pleasant	0.667	4	144	122	5	encoding
158.019	3	rep2	little pleasant	0.963	4	141	123	5	encoding
170.018	3	rep2	little unpleasant	0.869	4	142	124	5	encoding
182.017	3	rep2	little unpleasant	0.942	4	148	125	5	encoding
194.016	3	rep2	very unpleasant	0.631	4	143	126	5	encoding
206.015	3	0.0	n/a	n/a	n/a	410	127	5	n/a
212.014	3	rep3	little unpleasant	0.594	4	147	128	5	encoding
224.013	3	rep3	little unpleasant	0.794	4	143	129	5	encoding
236.011	3	rep3	little unpleasant	0.652	4	146	130	5	encoding
248.010	3	rep3	little unpleasant	0.349	4	142	131	5	encoding
260.009	3	rep3	little unpleasant	0.366	4	141	132	5	encoding
272.008	3	rep3	little unpleasant	0.816	4	144	133	5	encoding
284.007	3	rep3	little unpleasant	0.361	4	145	134	5	encoding
296.005	3	rep3	little unpleasant	0.738	4	148	135	5	encoding
