onset	duration	trial_type	response	response_time	stim_group	stim_id	trial_id	run_id	stim_type
2.017	3	0.0	n/a	n/a	n/a	140	82	4	n/a
8.017	3	rep1	very pleasant	0.607	4	141	83	4	encoding
20.016	3	rep1	very pleasant	1.135	4	146	84	4	encoding
32.015	3	rep1	very pleasant	1.001	4	148	85	4	encoding
44.030	3	rep1	very pleasant	0.793	4	144	86	4	encoding
56.012	3	rep1	very pleasant	0.810	4	147	87	4	encoding
68.011	3	rep1	very pleasant	0.980	4	142	88	4	encoding
80.010	3	rep1	very pleasant	1.246	4	145	89	4	encoding
92.025	3	rep1	very pleasant	0.894	4	143	90	4	encoding
104.008	3	0.0	n/a	n/a	n/a	400	91	4	n/a
110.007	3	rep2	very pleasant	0.801	4	148	92	4	encoding
122.006	3	rep2	very pleasant	0.761	4	144	93	4	encoding
134.021	3	rep2	very pleasant	0.786	4	147	94	4	encoding
146.020	3	rep2	very pleasant	0.707	4	145	95	4	encoding
158.019	3	rep2	very pleasant	0.925	4	142	96	4	encoding
170.018	3	rep2	very pleasant	0.741	4	146	97	4	encoding
182.017	3	rep2	very pleasant	0.854	4	143	98	4	encoding
194.015	3	rep2	very pleasant	0.616	4	141	99	4	encoding
206.014	3	0.0	n/a	n/a	n/a	410	100	4	n/a
212.013	3	rep3	very pleasant	0.466	4	146	101	4	encoding
224.012	3	rep3	very pleasant	0.755	4	143	102	4	encoding
236.011	3	rep3	very pleasant	0.588	4	145	103	4	encoding
248.010	3	rep3	very pleasant	0.662	4	141	104	4	encoding
260.025	3	rep3	very pleasant	0.742	4	147	105	4	encoding
272.007	3	rep3	very pleasant	0.625	4	144	106	4	encoding
284.006	3	rep3	very pleasant	1.017	4	148	107	4	encoding
296.005	3	rep3	very pleasant	0.778	4	142	108	4	encoding
