onset	duration	trial_type	response	response_time	stim_group	stim_id	trial_id	run_id	stim_type
2.007	3	0.0	n/a	n/a	n/a	180	190	8	n/a
8.006	3	rep1	very pleasant	1.017	2	121	191	8	encoding
20.006	3	rep1	little pleasant	0.730	2	127	192	8	encoding
32.005	3	rep1	little pleasant	0.731	2	124	193	8	encoding
44.019	3	rep1	very pleasant	0.532	2	128	194	8	encoding
56.018	3	rep1	very pleasant	0.734	2	122	195	8	encoding
68.017	3	rep1	little pleasant	0.855	2	123	196	8	encoding
80.016	3	rep1	little pleasant	1.304	2	126	197	8	encoding
92.015	3	rep1	very pleasant	0.913	2	125	198	8	encoding
104.013	3	0.0	n/a	n/a	n/a	400	199	8	n/a
110.013	3	rep2	very pleasant	0.867	2	121	200	8	encoding
122.012	3	rep2	very pleasant	0.780	2	124	201	8	encoding
134.010	3	rep2	very pleasant	1.525	2	125	202	8	encoding
146.009	3	rep2	very pleasant	1.014	2	128	203	8	encoding
158.008	3	rep2	little pleasant	0.792	2	123	204	8	encoding
170.007	3	rep2	very pleasant	0.801	2	122	205	8	encoding
182.005	3	rep2	little pleasant	0.890	2	127	206	8	encoding
194.005	3	rep2	little pleasant	0.508	2	126	207	8	encoding
206.020	3	0.0	n/a	n/a	n/a	410	208	8	n/a
212.019	3	rep3	very pleasant	0.732	2	128	209	8	encoding
224.018	3	rep3	little pleasant	0.614	2	125	210	8	encoding
236.017	3	rep3	very pleasant	1.342	2	121	211	8	encoding
248.016	3	rep3	little pleasant	1.072	2	126	212	8	encoding
260.015	3	rep3	very pleasant	0.881	2	122	213	8	encoding
272.014	3	rep3	very pleasant	0.810	2	124	214	8	encoding
284.012	3	rep3	little pleasant	0.563	2	123	215	8	encoding
296.011	3	rep3	little pleasant	0.620	2	127	216	8	encoding
