onset	duration	trial_type	response	response_time	stim_group	stim_id	trial_id	run_id	stim_type
2.005	3	0.0	n/a	n/a	n/a	190	217	9	n/a
8.004	3	rep1	little pleasant	1.555	2	125	218	9	encoding
20.019	3	rep1	little pleasant	1.412	2	124	219	9	encoding
32.018	3	rep1	little pleasant	1.653	2	123	220	9	encoding
44.017	3	rep1	very pleasant	1.558	2	127	221	9	encoding
56.016	3	rep1	little pleasant	1.591	2	126	222	9	encoding
68.015	3	rep1	little pleasant	1.465	2	122	223	9	encoding
80.013	3	rep1	little pleasant	1.866	2	121	224	9	encoding
92.012	3	rep1	little pleasant	1.891	2	128	225	9	encoding
104.011	3	0.0	n/a	n/a	n/a	400	226	9	n/a
110.010	3	rep2	little pleasant	1.245	2	122	227	9	encoding
122.009	3	rep2	very pleasant	0.767	2	127	228	9	encoding
134.008	3	rep2	little pleasant	1.376	2	126	229	9	encoding
146.007	3	rep2	very pleasant	1.345	2	121	230	9	encoding
158.006	3	rep2	little pleasant	1.138	2	123	231	9	encoding
170.004	3	rep2	little pleasant	1.259	2	125	232	9	encoding
182.020	3	rep2	little pleasant	0.940	2	128	233	9	encoding
194.019	3	rep2	little pleasant	0.717	2	124	234	9	encoding
206.018	3	0.0	n/a	n/a	n/a	410	235	9	n/a
212.017	3	rep3	little pleasant	1.295	2	123	236	9	encoding
224.016	3	rep3	little pleasant	0.624	2	124	237	9	encoding
236.015	3	rep3	little pleasant	0.961	2	126	238	9	encoding
248.014	3	rep3	very pleasant	0.674	2	127	239	9	encoding
260.012	3	rep3	little pleasant	1.115	2	122	240	9	encoding
272.011	3	rep3	little pleasant	0.645	2	128	241	9	encoding
284.010	3	rep3	little pleasant	1.758	2	125	242	9	encoding
296.009	3	rep3	little pleasant	1.815	2	121	243	9	encoding
