onset	duration	trial_type	response	response_time	stim_group	stim_id	trial_id	run_id	stim_type
2.016	3	0.0	n/a	n/a	n/a	120	28	2	n/a
8.015	3	rep1	little pleasant	1.161	3	138	29	2	encoding
20.014	3	rep1	little pleasant	1.161	3	134	30	2	encoding
32.012	3	rep1	little pleasant	1.003	3	132	31	2	encoding
44.011	3	rep1	little pleasant	1.172	3	136	32	2	encoding
56.010	3	rep1	little pleasant	1.509	3	133	33	2	encoding
68.009	3	rep1	little pleasant	1.319	3	137	34	2	encoding
80.008	3	rep1	n/a	n/a	3	131	35	2	encoding
92.007	3	rep1	little pleasant	1.402	3	135	36	2	encoding
104.006	3	0.0	n/a	n/a	n/a	400	37	2	n/a
110.005	3	rep2	little pleasant	0.451	3	132	38	2	encoding
122.005	3	rep2	little pleasant	0.955	3	131	39	2	encoding
134.019	3	rep2	little pleasant	0.748	3	135	40	2	encoding
146.018	3	rep2	little pleasant	0.677	3	138	41	2	encoding
158.017	3	rep2	little pleasant	0.903	3	137	42	2	encoding
170.016	3	rep2	little pleasant	0.695	3	134	43	2	encoding
182.014	3	rep2	very pleasant	1.297	3	133	44	2	encoding
194.013	3	rep2	little pleasant	1.066	3	136	45	2	encoding
206.012	3	0.0	n/a	n/a	n/a	410	46	2	n/a
212.012	3	rep3	little pleasant	0.644	3	132	47	2	encoding
224.010	3	rep3	little pleasant	0.830	3	138	48	2	encoding
236.009	3	rep3	little pleasant	0.758	3	136	49	2	encoding
248.008	3	rep3	very pleasant	1.055	3	133	50	2	encoding
260.007	3	rep3	little pleasant	0.898	3	134	51	2	encoding
272.006	3	rep3	little pleasant	0.746	3	135	52	2	encoding
284.004	3	rep3	little pleasant	1.044	3	137	53	2	encoding
296.020	3	rep3	little pleasant	0.795	3	131	54	2	encoding
