onset	duration	trial_type	response	response_time	stim_group	stim_id	trial_id	run_id	stim_type
2.018	3	0.0	n/a	n/a	n/a	170	163	7	n/a
8.018	3	rep1	little unpleasant	0.877	9	198	164	7	encoding
20.017	3	rep1	little unpleasant	1.142	9	196	165	7	encoding
32.016	3	rep1	little unpleasant	0.704	9	195	166	7	encoding
44.014	3	rep1	little unpleasant	0.849	9	192	167	7	encoding
56.013	3	rep1	little pleasant	0.931	9	193	168	7	encoding
68.012	3	rep1	little pleasant	1.148	9	191	169	7	encoding
80.011	3	rep1	little unpleasant	1.061	9	197	170	7	encoding
92.010	3	rep1	little pleasant	1.086	9	194	171	7	encoding
104.009	3	0.0	n/a	n/a	n/a	400	172	7	n/a
110.025	3	rep2	little unpleasant	1.176	9	198	173	7	encoding
122.007	3	rep2	little unpleasant	0.776	9	197	174	7	encoding
134.006	3	rep2	little unpleasant	0.954	9	195	175	7	encoding
146.004	3	rep2	little pleasant	0.899	9	194	176	7	encoding
158.020	3	rep2	little unpleasant	0.764	9	192	177	7	encoding
170.019	3	rep2	little pleasant	0.709	9	191	178	7	encoding
182.017	3	rep2	little pleasant	0.767	9	193	179	7	encoding
194.017	3	rep2	little unpleasant	0.759	9	196	180	7	encoding
206.015	3	0.0	n/a	n/a	n/a	410	181	7	n/a
212.015	3	rep3	very unpleasant	1.337	9	192	182	7	encoding
224.014	3	rep3	little unpleasant	1.154	9	197	183	7	encoding
236.012	3	rep3	little unpleasant	1.091	9	191	184	7	encoding
248.011	3	rep3	little unpleasant	0.669	9	196	185	7	encoding
260.010	3	rep3	little unpleasant	0.670	9	198	186	7	encoding
272.009	3	rep3	little pleasant	0.719	9	193	187	7	encoding
284.007	3	rep3	little pleasant	0.968	9	194	188	7	encoding
296.006	3	rep3	little unpleasant	1.194	9	195	189	7	encoding
